Name,InChlKey,SMILES,Formula,Precursor m/z,MS/MS_m/z,MSMS spectrum,Adduct,CE,Source,NLFentanyl_C9H10NO,ProIonFentanyl_C8H9+,ProIonFentanyl_C13H18N+,MS2 feature
Benzyl Acryl Fentanyl,BANFGBDVLADRGR-UHFFFAOYSA-N,C1(=CC=CC=C1)N(C(C=C)=O)C1CCN(CC1)CC1=CC=CC=C1,C21H24N2O,321.1961,"91.0542 999
174.1277 499
214.1226 333",91.0542:999 174.1277:499 214.1226:333,[M+H]+,,HighResNPS,0,0,0,0
4'-Methyl Acetyl Fentanyl,BBMRIHXVAUNKEV-UHFFFAOYSA-N,CC(N(C1CCN(CCC2=CC=C(C)C=C2)CC1)C3=CC=CC=C3)=O,C22H28N2O,337.2274,"202.1590 999
119.0855 499
160.1121 333
132.0808 249",202.1590:999 119.0855:499 160.1121:333 132.0808:249,[M+H]+,,HighResNPS,0,0,0,0
para-Chloro Cyclobutyl Fentanyl,BCYKSTXBLMALSD-UHFFFAOYSA-N,ClC1=CC=C(C=C1)N(C(=O)C1CCC1)C1CCN(CC1)CCC1=CC=CC=C1,C24H29ClN2O,397.2041,"188.1434 999
105.0699 499
315.1622 333
276.1150 249",188.1434:999 105.0699:499 315.1622:333 276.1150:249,[M+H]+,,HighResNPS,0,1,1,2
ortho-Methyl Furanyl Fentanyl,BFKNHOZXFOQILA-UHFFFAOYSA-N,O=C(C1=CC=CO1)N(C2CCN(CCC3=CC=CC=C3)CC2)C4=CC=CC=C4C,C25H28N2O2,389.2223,"188.1434 999
105.0699 499
268.1332 333",188.1434:999 105.0699:499 268.1332:333,[M+H]+,,HighResNPS,0,1,1,2
ortho-Methyl Cyclopropyl Fentanyl,BFQXWRBDVXLPEX-UHFFFAOYSA-N,CC1=C(C=CC=C1)N(C(=O)C1CC1)C1CCN(CC1)CCC1=CC=CC=C1,C24H30N2O,363.2431,"188.1434 999
105.0699 499
242.1539 333",188.1434:999 105.0699:499 242.1539:333,[M+H]+,,HighResNPS,0,1,1,2
Phenyl fentanyl,BJPDWVPQDSVQKD-UHFFFAOYSA-N,C1(=CC=CC=C1)N(C(C1=CC=CC=C1)=O)C1CCN(CC1)CCC1=CC=CC=C1,C26H28N2O,385.2274,"188.1434 999
105.0699 499
105.0335 333
134.0964 249",188.1434:999 105.0699:499 105.0335:333 134.0964:249,[M+H]+,,HighResNPS,0,1,1,2
Mirfentanil,BJZZDOLVVLWFHN-UHFFFAOYSA-N,O=C(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=NC=CN=C3)C4=CC=CO4,C22H24N4O2,377.1972,188.1434 999,188.1434:999,[M+H]+,,HighResNPS,0,0,1,1
ortho-Fluorofentanyl,BKUWDIVZCJNXRA-UHFFFAOYSA-N,CCC(N(C1=CC=CC=C1F)C2CCN(CCC3=CC=CC=C3)CC2)=O,C22H27FN2O,355.218,"188.1434 999
105.0699 499
234.1289 333
150.0713 249
134.0964 199",188.1434:999 105.0699:499 234.1289:333 150.0713:249 134.0964:199,[M+H]+,,HighResNPS,0,1,1,2
Benzofuranyl-fentanyl,BKZWPTNRAPUUNM-UHFFFAOYSA-N,O1C=CC2=C1C=CC(=C2)CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2,C24H28N2O2,377.2223,"228.1383 999
145.0648 499
321.1961 333",228.1383:999 145.0648:499 321.1961:333,[M+H]+,,HighResNPS,0,0,0,0
3-Methyl phenoxy acetylfentanil,BMKBNQJKTAKNHB-UHFFFAOYSA-N,CC1CN(CCC1N(C(C)=O)C1=CC=CC=C1)CCOC1=CC=CC=C1,C22H28N2O2,353.2223,218.1539 999,218.1539:999,[M+H]+,,HighResNPS,0,0,0,0
meta-Fluoro Isobutyryl Fentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,FC=1C=C(C=CC1)N(C(CCC)=O)C1CCN(CC1)CCC1=CC=CC=C1,C23H29FN2O,369.2337,"188.1434 999
105.0699 499
248.1445 333
134.0964 249",188.1434:999 105.0699:499 248.1445:333 134.0964:249,[M+H]+,,HighResNPS,0,1,1,2
4-Phenyl Fentanyl,BXCJXJLHYMWMQU-UHFFFAOYSA-N,CCC(N(C1=CC=CC=C1)C2(C3=CC=CC=C3)CCN(CCC4=CC=CC=C4)CC2)=O,C28H32N2O,413.2587,"264.1747 999
134.0964 499
105.0699 333",264.1747:999 134.0964:499 105.0699:333,[M+H]+,,HighResNPS,0,1,0,1
"2,2,3,3?-Tetramethyl?-Cyclopropyl?Fentanyl",BYCDHAVFKDTVAM-UHFFFAOYSA-N,CC1(C(C1(C)C)C(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1)C,C27H36N2O,405.29,"125.0961 999
188.1434 499
281.2012 333
105.0699 249",125.0961:999 188.1434:499 281.2012:333 105.0699:249,[M+H]+,,HighResNPS,0,1,1,2
3-Allylfentanyl,BZXKQFFMDLTPJL-LADGPHEKSA-N,CCC(N([C@H]1[C@@H](CC=C)CN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O,C25H32N2O,377.2587,"228.1747 999
105.0699 499
321.2325 333",228.1747:999 105.0699:499 321.2325:333,[M+H]+,,HighResNPS,0,1,0,1
Thiophene Fentanyl,CCHPKGYUIHSQIE-UHFFFAOYSA-N,O=C(C1=CC=CS1)N(C2CCN(CCC3=CC=CC=C3)CC2)C4=CC=CC=C4,C24H26N2OS,391.1838,"188.1434 999
105.0699 499
270.0947 333
110.9899 249",188.1434:999 105.0699:499 270.0947:333 110.9899:249,[M+H]+,,HighResNPS,0,1,1,2
para-Fluoro Cyclopropyl Fentanyl,CGLWFPGHBIADCN-UHFFFAOYSA-N,O=C(C1CC1)N(C2=CC=C(F)C=C2)C3CCN(CCC4=CC=CC=C4)CC3,C23H27FN2O,367.218,"188.1434 999
105.0699 499
246.1289 333
299.1918 249",188.1434:999 105.0699:499 246.1289:333 299.1918:249,[M+H]+,,HighResNPS,0,1,1,2
Phenylpropyl-norfentanyl,CKBFKWWOUYBCRH-UHFFFAOYSA-N,C1(=CC=CC=C1)N(C(CC)=O)C1CCN(CC1)CCCC1=CC=CC=C1,C23H30N2O,351.2431,"202.1590 999
119.0855 499",202.1590:999 119.0855:499,[M+H]+,,HighResNPS,0,0,0,0
N-Benzoxazolyl-fentanyl,CMDZLJWVALAUMR-UHFFFAOYSA-N,O1C=NC2=C1C=C(C=C2)N(C(CC)=O)C2CCN(CC2)CCC2=CC=CC=C2,C23H27N3O2,378.2176,"188.1434 999
105.0699 499",188.1434:999 105.0699:499,[M+H]+,,HighResNPS,0,1,1,2
"N,N-Dimethylamido Fentanyl",CNNWEBFAZNLXKY-UHFFFAOYSA-N,O=C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)N(C)C,C22H29N3O,352.2383,"188.1434 999
105.0699 499
134.0964 333",188.1434:999 105.0699:499 134.0964:333,[M+H]+,,HighResNPS,0,1,1,2
4-(m-Hydroxyphenyl)fentanyl,CRJUJMJRISHORQ-UHFFFAOYSA-N,OC=1C=C(C=CC1)C1(CCN(CC1)CCC1=CC=CC=C1)N(C(CC)=O)C1=CC=CC=C1,C28H32N2O2,429.2536,"280.1696 999
105.0699 499",280.1696:999 105.0699:499,[M+H]+,,HighResNPS,0,1,0,1
para-Chloro Acryl Fentanyl,CSFZVPAQJHDOCD-UHFFFAOYSA-N,C=CC(N(C1=CC=C(Cl)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O,C22H25ClN2O,369.1728,"188.1434 999
105.0699 499
248.0837 333",188.1434:999 105.0699:499 248.0837:333,[M+H]+,,HighResNPS,0,1,1,2
para-Methyl Butyryl Fentanyl,CUFCHIIHNKRRCD-UHFFFAOYSA-N,C(CC1=CC=CC=C1)N1CCC(CC1)N(C(CCC)=O)C1=CC=C(C=C1)C,C24H32N2O,365.2587,"188.1434 999
105.0699 499
244.1696 333",188.1434:999 105.0699:499 244.1696:333,[M+H]+,,HighResNPS,0,1,1,2
p-Chlorofentanyl,CUGMWAHBYRKBKL-UHFFFAOYSA-N,ClC1=CC=C(C=C1)N(C(CC)=O)C1CCN(CC1)CCC1=CC=CC=C1,C22H27ClN2O,371.1885,"188.1434 999
105.0699 499
315.1622 333
250.0993 249
134.0964 199",188.1434:999 105.0699:499 315.1622:333 250.0993:249 134.0964:199,[M+H]+,,HighResNPS,0,1,1,2
Cyclohexyl fentanyl,CWLVCTNETVWMMZ-UHFFFAOYSA-N,O=C(C1CCCCC1)N(C2CCN(CCC3=CC=CC=C3)CC2)C4=CC=CC=C4,C26H34N2O,391.2744,"188.1434 999
105.0699 499
281.2012 333
83.0855 249",188.1434:999 105.0699:499 281.2012:333 83.0855:249,[M+H]+,,HighResNPS,0,1,1,2
2-Fluorofentanyl,CXVOUUHKXFLGQY-UHFFFAOYSA-N,FC1N(CCC(C1)N(C(CC)=O)C1=CC=CC=C1)CCC1=CC=CC=C1,C22H27FN2O,355.218,"206.1339 999
105.0699 499
299.1918 333",206.1339:999 105.0699:499 299.1918:333,[M+H]+,,HighResNPS,0,1,0,1
Acetyl norfentanyl,CYTIQZKDSHKYGB-UHFFFAOYSA-N,C1(=CC=CC=C1)N(C(C)=O)C1CCNCC1,C13H18N2O,219.1492,"84.0808 999
136.0757 499
56.0495 333
55.0542 249
202.1226 199
136.0557 166",84.0808:999 136.0757:499 56.0495:333 55.0542:249 202.1226:199 136.0557:166,[M+H]+,,HighResNPS,0,0,0,0
ortho-Methoxy Furanyl Fentanyl,DCDCWVRDPIOMBB-UHFFFAOYSA-N,O=C(C1=CC=CO1)N(C2=CC=CC=C2OC)C3CCN(CCC4=CC=CC=C4)CC3,C25H28N2O3,405.2172,"188.1434 999
105.0699 499
284.1281 333
134.0964 249",188.1434:999 105.0699:499 284.1281:333 134.0964:249,[M+H]+,,HighResNPS,0,1,1,2
Furanyl norfentanyl,DDSUGTXSJFAMIM-UHFFFAOYSA-N,C1(=CC=CC=C1)N(C(=O)C=1OC=CC1)C1CCNCC1,C16H18N2O2,271.1441,"84.0808 999
188.0706 499
95.0127 333
56.0495 249",84.0808:999 188.0706:499 95.0127:333 56.0495:249,[M+H]+,,HighResNPS,0,0,0,0
N-Benzyl para-Fluoro Cyclopropyl Norfentanyl,DGFCHXNCEJHFDB-UHFFFAOYSA-N,O=C(C1CC1)N(C2CCN(CC3=CC=CC=C3)CC2)C4=CC=C(F)C=C4,C22H25FN2O,353.2024,"174.1277 999
91.0542 499
246.1289 333",174.1277:999 91.0542:499 246.1289:333,[M+H]+,,HighResNPS,0,0,0,0
"2',4'-Dimethoxy Fentanyl",DHNOAILILCSUCH-UHFFFAOYSA-N,COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC(=C1)OC,C24H32N2O3,397.2485,"248.1645 999
165.0910 499
135.0804 333",248.1645:999 165.0910:499 135.0804:333,[M+H]+,,HighResNPS,0,0,0,0
beta'-Phenyl Fentanyl,DIRAGWDYMRIDIO-UHFFFAOYSA-N,O=C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)CCC4=CC=CC=C4,C28H32N2O,413.2587,"188.1434 999
105.0699 499
292.1696 333
281.2012 249",188.1434:999 105.0699:499 292.1696:333 281.2012:249,[M+H]+,,HighResNPS,0,1,1,2
4''-Fluoro-ohmefentanyl,DLDNXBULJKBSDU-UHFFFAOYSA-N,FC1=CC=C(C=C1)C(CN1CC(C(CC1)N(C(CC)=O)C1=CC=CC=C1)C)O,C23H29FN2O2,385.2286,"236.1445 999
218.1339 499",236.1445:999 218.1339:499,[M+H]+,,HighResNPS,0,0,0,0
para-Fluoro Tetrahydrofuran Fentanyl,DNWBTPZLCFRPRR-UHFFFAOYSA-N,FC1=CC=C(C=C1)N(C(=O)C1OCCC1)C1CCN(CC1)CCC1=CC=CC=C1,C24H29FN2O2,397.2286,"188.1434 999
105.0699 499
299.1918 333
134.0964 249",188.1434:999 105.0699:499 299.1918:333 134.0964:249,[M+H]+,,HighResNPS,0,1,1,2
ortho-Methyl Fentanyl,DPAJFOSXYXNYMA-UHFFFAOYSA-N,CC1=C(C=CC=C1)N(C(CC)=O)C1CCN(CC1)CCC1=CC=CC=C1,C23H30N2O,351.2431,"188.1434 999
105.0699 499
230.1539 333",188.1434:999 105.0699:499 230.1539:333,[M+H]+,,HighResNPS,0,1,1,2
alpha'-Methyl Butyryl Fentanyl,DRAWSQJHCQAWNN-UHFFFAOYSA-N,CC(C(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1)CC,C24H32N2O,365.2587,"188.1434 999
105.0699 499
244.1696 333
281.2012 249",188.1434:999 105.0699:499 244.1696:333 281.2012:249,[M+H]+,,HighResNPS,0,1,1,2
Butyrylremifentanil,DRBSYWUZPIRIDG-UHFFFAOYSA-N,C(CCC)(=O)N(C1(CCN(CC1)CCC(=O)OC)C(=O)OC)C1=CC=CC=C1,C21H30N2O5,391.2227,228.1230 999,228.1230:999,[M+H]+,,HighResNPS,0,0,0,0
Remifentanil bis ethyl ester,DVSOIPUGVXQYKQ-UHFFFAOYSA-N,C(C)OC(CCN1CCC(CC1)(C(=O)OCC)N(C(CC)=O)C1=CC=CC=C1)=O,C22H32N2O5,405.2384,256.1543 999,256.1543:999,[M+H]+,,HighResNPS,0,0,0,0
"2',5'-Dimethoxy 4'-Iodo alpha-Methyl Fentanyl",DWQJPNTVTUVHQJ-UHFFFAOYSA-N,IC1=CC(=C(C=C1OC)CC(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1)OC,C25H33IN2O3,537.1608,"305.0033 999
388.0768 499
276.9720 333",305.0033:999 388.0768:499 276.9720:333,[M+H]+,,HighResNPS,0,0,0,0
Ethoxyacetyl Fentanyl,FBHHANTXGLSYKL-UHFFFAOYSA-N,O=C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)COCC,C23H30N2O2,367.238,"188.1434 999
105.0699 499
246.1488 333
146.0964 249",188.1434:999 105.0699:499 246.1488:333 146.0964:249,[M+H]+,,HighResNPS,0,1,1,2
para-Chloro Valeryl Fentanyl,FCGXDEMTTPNXQP-UHFFFAOYSA-N,CCCCC(N(C1=CC=C(Cl)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O,C24H31ClN2O,399.2198,"188.1434 999
105.0699 499
315.1622 333
278.1306 249",188.1434:999 105.0699:499 315.1622:333 278.1306:249,[M+H]+,,HighResNPS,0,1,1,2
N-(6-Dihydrobenzofuranylethyl) alpha-Methyl Fentanyl,FCKLMVPDFBDMDA-UHFFFAOYSA-N,CCC(N(C1=CC=CC=C1)C2CCN(C(C)CC3=CC(OCC4)=C4C=C3)CC2)=O,C25H32N2O2,393.2536,"259.1805 999
244.1696 499
161.0961 333",259.1805:999 244.1696:499 161.0961:333,[M+H]+,,HighResNPS,0,0,0,0
p-Iodofentanyl,FFGVMMVLUWAZLS-UHFFFAOYSA-N,IC1=CC=C(C=C1)N(C(CC)=O)C1CCN(CC1)CCC1=CC=CC=C1,C22H27IN2O,463.1241,"188.1434 999
105.0699 499
407.0979 333",188.1434:999 105.0699:499 407.0979:333,[M+H]+,,HighResNPS,0,1,1,2
para-Fluoro Cylcopentyl Fentanyl,FHNWCPRXMDUFOQ-UHFFFAOYSA-N,O=C(C1CCCC1)N(C2=CC=C(F)C=C2)C3CCN(CCC4=CC=CC=C4)CC3,C25H31FN2O,395.2493,"188.1434 999
105.0699 499
69.0699 333",188.1434:999 105.0699:499 69.0699:333,[M+H]+,,HighResNPS,0,1,1,2
p-Fluoroisobutyrylbenzylfentanyl,FLRWSHYOIGXTRR-UHFFFAOYSA-N,CCCC(N(C1CCN(CC2=CC=CC=C2)CC1)C3=CC=C(F)C=C3)=O,C22H27FN2O,355.218,"174.1277 999
91.0542 499",174.1277:999 91.0542:499,[M+H]+,,HighResNPS,0,0,0,0
para-Methoxy Butyryl Fentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,CCCC(N(C1=CC=C(OC)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O,C24H32N2O2,381.2536,"188.1434 999
105.0699 499
260.1645 333
162.0913 249
311.2118 199
134.0964 166",188.1434:999 105.0699:499 260.1645:333 162.0913:249 311.2118:199 134.0964:166,[M+H]+,,HighResNPS,0,1,1,2
alpha-Dimethyl Fentanyl,FOOGWVPUGNMCNY-UHFFFAOYSA-N,CC(CC1=CC=CC=C1)(C)N1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1,C24H32N2O,365.2587,"233.1648 999
84.0808 499
91.0542 333",233.1648:999 84.0808:499 91.0542:333,[M+H]+,,HighResNPS,0,0,0,0
"3,5-Dimethyl-cyclopentylfentanyl",FQDREKPGLXKWFU-UHFFFAOYSA-N,CC1CN(CC(C1N(C(=O)C1CCCC1)C1=CC=CC=C1)C)CCC1=CC=CC=C1,C27H36N2O,405.29,"216.1747 999
105.0699 499
295.2169 333",216.1747:999 105.0699:499 295.2169:333,[M+H]+,,HighResNPS,0,1,0,1
Ohmefentanyl,FRPRNNRJTCONEC-UHFFFAOYSA-N,CCC(N(C1C(C)CN(CC(O)C2=CC=CC=C2)CC1)C3=CC=CC=C3)=O,C23H30N2O2,367.238,"218.1539 999
200.1434 499
134.0964 333",218.1539:999 200.1434:499 134.0964:333,[M+H]+,,HighResNPS,0,0,0,0
beta-Hydroxy Acetyl Thiofentanyl,FTTYVYBNZXIJGH-UHFFFAOYSA-N,CC(N(C1=CC=CC=C1)C2CCN(CC(C3=CC=CS3)O)CC2)=O,C19H24N2O2S,345.1631,"192.0841 999
327.1525 499
111.0263 333",192.0841:999 327.1525:499 111.0263:333,[M+H]+,,HighResNPS,0,0,0,0
3-Methyl-furanylfentanyl,FXCXOYFIDLBWSR-UHFFFAOYSA-N,CC1CN(CCC1N(C(=O)C=1OC=CC1)C1=CC=CC=C1)CCC1=CC=CC=C1,C25H28N2O2,389.2223,"202.1590 999
105.0699 499",202.1590:999 105.0699:499,[M+H]+,,HighResNPS,0,1,0,1
Acetyl fentanyl,FYIUUQUPOKIKNI-UHFFFAOYSA-N,CC(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O,C21H26N2O,323.2118,"188.1434 999
105.0699 499
202.1226 333
132.0808 249
134.0964 199",188.1434:999 105.0699:499 202.1226:333 132.0808:249 134.0964:199,[M+H]+,,HighResNPS,0,1,1,2
Furanylfentanyl,FZJVHWISUGFFQV-UHFFFAOYSA-N,C1(=CC=CC=C1)N(C(=O)C=1OC=CC1)C1CCN(CC1)CCC1=CC=CC=C1,C24H26N2O2,375.2067,"188.1434 999
105.0699 499
134.0964 333
146.0964 249",188.1434:999 105.0699:499 134.0964:333 146.0964:249,[M+H]+,,HighResNPS,0,1,1,2
"2,3-Benzodioxole Fentanyl",GASQWTMIYCISED-UHFFFAOYSA-N,O=C(C1=C(OCO2)C2=CC=C1)N(C3CCN(CCC4=CC=CC=C4)CC3)C5=CC=CC=C5,C27H28N2O3,429.2172,"188.1434 999
149.0233 499
105.0699 333",188.1434:999 149.0233:499 105.0699:333,[M+H]+,,HighResNPS,0,1,1,2
Despropionyl N-Benzyl?para-Fluoro Norfentanyl,GCHCRHBAGFHFMV-UHFFFAOYSA-N,FC1=CC=C(NC2CCN(CC3=CC=CC=C3)CC2)C=C1,C18H21FN2,285.1761,"91.0542 999
174.1277 499
138.0713 333
84.0808 249",91.0542:999 174.1277:499 138.0713:333 84.0808:249,[M+H]+,,HighResNPS,0,0,0,0
N-Benzyl Furanyl Norfentanyl,GDPJXHFICUEJBT-UHFFFAOYSA-N,O=C(C1=CC=CO1)N(C2CCN(CC3=CC=CC=C3)CC2)C4=CC=CC=C4,C23H24N2O2,361.191,"174.1277 999
91.0542 499
82.0651 333",174.1277:999 91.0542:499 82.0651:333,[M+H]+,,HighResNPS,0,0,0,0
Remifentanyl Acid,GFJKFSFFMHOISI-UHFFFAOYSA-N,O=C(O)CCN1CCC(N(C(CC)=O)C2=CC=CC=C2)(C(OC)=O)CC1,C19H26N2O5,363.1914,"146.0964 999
113.0597 499
214.1074 333",146.0964:999 113.0597:499 214.1074:333,[M+H]+,,HighResNPS,0,0,0,0
Sufentanil,GGCSSNBKKAUURC-UHFFFAOYSA-N,CCC(N(C1(COC)CCN(CCC2=CC=CS2)CC1)C3=CC=CC=C3)=O,C22H30N2O2S,387.2101,"238.1260 999
355.1838 499
111.0263 333
140.1070 249",238.1260:999 355.1838:499 111.0263:333 140.1070:249,[M+H]+,,HighResNPS,0,0,0,0
p-Fluoro-thiofentanyl,GGVPWHDONZADFT-UHFFFAOYSA-N,FC1=CC=C(C=C1)N(C(CC)=O)C1CCN(CC1)CCC=1SC=CC1,C20H25FN2OS,361.1744,"194.0998 999
111.0263 499",194.0998:999 111.0263:499,[M+H]+,,HighResNPS,0,0,0,0
N-(2C-B-FLY) Fentanyl,GJERGHIBTJEMNY-UHFFFAOYSA-N,BrC1=C2OCCC2=C(C=2OCCC21)CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2,C26H31BrN2O3,499.1591,"267.0015 999
350.0750 499
188.0832 333",267.0015:999 350.0750:499 188.0832:333,[M+H]+,,HighResNPS,0,0,0,0
Beta-Hydroxythiofentanyl,GLAAETOTOUGGSB-UHFFFAOYSA-N,CCC(N(C1CCN(CC(O)C2=CC=CS2)CC1)C3=CC=CC=C3)=O,C20H26N2O2S,359.1788,"341.1682 999
192.0841 499
285.1420 333
146.0964 249
111.0263 199
97.0106 166",341.1682:999 192.0841:499 285.1420:333 146.0964:249 111.0263:199 97.0106:166,[M+H]+,,HighResNPS,0,0,0,0
meta-Fluoro Valeryl Fentanyl,GLYKZHGNYYYJLH-UHFFFAOYSA-N,FC=1C=C(C=CC1)N(C(COC)=O)C1CCN(CC1)CCC1=CC=CC=C1,C22H27FN2O2,371.2129,"188.1434 999
105.0699 499
299.1918 333",188.1434:999 105.0699:499 299.1918:333,[M+H]+,,HighResNPS,0,1,1,2
4-Methyl Fentanyl,GNKKPEHVTFKLMN-UHFFFAOYSA-N,CCC(N(C1(C)CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O,C23H30N2O,351.2431,"202.1590 999
105.0699 499
134.0964 333",202.1590:999 105.0699:499 134.0964:333,[M+H]+,,HighResNPS,0,1,0,1
Fluoropentyl-norcarfentanil,GOHUCAAMBKDPBP-UHFFFAOYSA-N,FCCCCCN1CCC(CC1)(C(=O)OC)N(C(CC)=O)C1=CC=CC=C1,C21H31FN2O3,379.2391,230.1551 999,230.1551:999,[M+H]+,,HighResNPS,0,0,0,0
Butyryl Norfentanyl,GOXLPDTZAWMNTG-UHFFFAOYSA-N,CCCC(N(C1=CC=CC=C1)C2CCNCC2)=O,C15H22N2O,247.1805,"84.0808 999
177.1386 499
164.1070 333",84.0808:999 177.1386:499 164.1070:333,[M+H]+,,HighResNPS,0,0,0,0
ortho-Methyl Acetyl Fentanyl,GRDWUDZBHWHLSH-UHFFFAOYSA-N,CC(N(C1=CC=CC=C1C)C2CCN(CCC3=CC=CC=C3)CC2)=O,C22H28N2O,337.2274,"188.1434 999
105.0699 499
216.1383 333",188.1434:999 105.0699:499 216.1383:333,[M+H]+,,HighResNPS,0,1,1,2
"2',6'-Dimethoxy Fentanyl",GSKXYRVXRAGXBJ-UHFFFAOYSA-N,COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C(=CC=C1)OC,C24H32N2O3,397.2485,"248.1645 999
165.0910 499
135.0804 333",248.1645:999 165.0910:499 135.0804:333,[M+H]+,,HighResNPS,0,0,0,0
N-Methyl-butyrylfentanyl,GYCOYFSNPYCQOL-UHFFFAOYSA-N,CN1CCC(CC1)N(C(CCC)=O)C1=CC=CC=C1,C16H24N2O,261.1961,"98.0964 999
191.1543 499",98.0964:999 191.1543:499,[M+H]+,,HighResNPS,0,0,0,0
